standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
BrC=Cc1ccccc1,Fragrant/ Fruity,Green,Vegetation,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(O)CCC=C(C)C,Ambrosial,Building materials &,Dry,Fragrant,Grassy/ Woody,Plants,Sweet,Waxy,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1,Aromatic,Building materials &,Dry,Floral,Fragrant,Grassy/ Woody,Grassy/ Woody,Herbaceous,Herbaceous,Nutty,Other,Vegetation,Vegetation,Woody,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1C(C)CC,Building materials &,Dry,Grassy/ Woody,Mossy woods,Soft oriental,Vegetation,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCO,Floral,Floral,Fragrant,Fragrant,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=CC1OCCO1)c1ccccc1,Food,Spices,Spices,Spices,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12=C3C4C1=C1C2C3C14,Food,Fragrant/ Fruity,Fruity,Nature,Spices,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC2COCC2CCCCCCCC1,Ambrosial,Earthy/ Musty/ Mol,Earthy/ Musty/ Mol,Other,People & animals,Sharp/ Pungent,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CCOC=C1,Bakery,People & animals,Sickening,Smokey,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=NCCC1,Ammonia,Fishy/ Ammonia,Food,Nature,Non-vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CC2C3CC(C2C1)C1(CCCO1)C3,Citrus,Floral,Floral,Fragrant,Fragrant/ Fruity,Fresh,Fruity,Fruity,Lemon,Nature,Vegetables,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,Alliaceous,Alliaceous,Food,Marshy/ Septic/ Sulp,Nature,Nutty,People & animals,Poultry,Restaurant,Sickening,Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCC2(CCC1)CCCO2,Building materials &,Floral,Floral,Fuel/ Gas Station/ S,Grassy/ Woody,People & animals,Solvent/ Hydrocarbo,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2COCC2CCCC1,Building materials &,Dry,Grassy/ Woody,Mossy woods,Soft oriental,Sweet,Vegetation,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNC1,Ammonia,Ammonia,Chemical/ Hydrocar,Fishy/ Ammonia,Fishy/ Ammonia,Fishy/ Rancid,Food,Nature,People & animals,Poultry,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNCC1,Ammonia,Ammonia,Fishy/ Ammonia,Fishy/ Ammonia,Fishy/ Rancid,Floral,Food,Fragrant,Fragrant,Nature,People & animals,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCSC1,Chemical/ Hydrocar,Foul,Marshy/ Septic/ Sulp,Nature,Sickening,Sulphur/ Cabbage/ G,Sulphur/ Cabbage/ G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
