standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
BrC=Cc1ccccc1,Green,Green,Hyacinth,Leafy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(O)CCC=C(C)C,Musk,Woody,Dry,Sweet,Woody,Ambrette,Sweet,Waxy,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1,Herbal,Woody,Dry,Immortelle,Herbal,Hay,Woody,Hay,Herbal,Nutty,Natural,Herbal,Leafy,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1C(C)CC,Woody,Dry,Woody,Amber,Amber,Guaiacwood,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCO,Floral,Geranium,Floral,Geranium,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=CC1OCCO1)c1ccccc1,Spices,Allspice,Cinnamyl,Spices,Warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12=C3C4C1=C1C2C3C14,Spices,Fruity,Mango,Fruity,Spices,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC2COCC2CCCCCCCC1,Musk,Earthy,Earthy/ Musty,Natural,Animal,Earthy,Earthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CCOC=C1,Smokey,Smokey,Smokey,Smokey,Smokey,Smokey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=NCCC1,Ammonia,Ammonia,Food,Sea,Shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CC2C3CC(C2C1)C1(CCCO1)C3,Grapefruit,Floral,Gardenia,Floral,Citrus,Fresh,Citrus,Grapefruit,Citrus,Floral,Rhubarb,Vetiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,Alliaceous,Onion,Food,Onion,Sea,Nutty,Clam,Eggs,Coffee,Onion,Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
